time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449550000	17.6685	18.4563	4.63237	2.34988	0.462684	radar	6.33675	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4653	18.6507	4.74021	2.37729	0.466942	lidar	0.629899	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2862	18.787	4.7101	2.4238	0.533176	radar	1.95616	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1299	18.9202	4.64528	2.44865	0.531698	lidar	0.222239	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9631	19.0905	4.66015	2.45843	0.495692	radar	2.94013	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7422	19.2099	4.68181	2.50177	0.519418	lidar	2.84193	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5494	19.365	4.71785	2.53008	0.539022	radar	3.26235	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3117	19.5367	4.84455	2.55601	0.534734	lidar	0.844211	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0907	19.6163	4.80773	2.61723	0.612326	radar	10.0305	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8806	19.7615	4.84688	2.63855	0.599495	lidar	0.74562	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.696	19.8864	4.78366	2.62696	0.468791	radar	3.28521	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.456	20.0487	4.89843	2.64031	0.452466	lidar	1.14499	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2353	20.1966	4.94744	2.64935	0.426765	radar	5.41397	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0562	20.3242	4.89266	2.65828	0.412315	lidar	1.84577	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.824	20.4045	4.88959	2.70619	0.480962	radar	2.363	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6106	20.5228	4.89367	2.72216	0.470737	lidar	0.558982	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3689	20.6117	4.93086	2.76743	0.538576	radar	1.22515	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1231	20.6825	4.94184	2.80286	0.549174	lidar	0.69862	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8837	20.7559	4.95674	2.84201	0.58668	radar	0.190014	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6038	20.8186	5.03094	2.8796	0.595223	lidar	1.48263	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3559	20.85	5.03752	2.9419	0.689492	radar	1.6104	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1138	20.8815	5.01437	2.98158	0.697038	lidar	0.154085	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8847	20.9427	4.97708	2.99261	0.63607	radar	2.13646	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6999	20.974	4.85346	3.02188	0.63859	lidar	2.11906	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4451	21.0183	4.88961	3.04311	0.61462	radar	2.59038	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.197	21.0539	4.90965	3.06745	0.605108	lidar	0.179321	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9622	21.0731	4.89571	3.09722	0.609376	radar	0.905656	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7255	21.0375	4.85488	3.1467	0.636619	lidar	1.7219	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4827	21.0233	4.84194	3.17882	0.627442	radar	1.04327	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2733	21.0127	4.77728	3.21062	0.630914	lidar	0.629522	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0221	20.9734	4.79125	3.24797	0.631928	radar	4.0643	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8188	20.9317	4.71675	3.28805	0.64706	lidar	0.338946	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5687	20.9348	4.6886	3.27265	0.513495	radar	5.65757	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2637	20.9795	4.85701	3.25341	0.442606	lidar	3.62491	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0242	20.9594	4.86433	3.27484	0.450035	radar	1.00785	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.84636	20.918	4.73476	3.30783	0.468651	lidar	1.56634	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.61062	20.9105	4.69428	3.29422	0.368481	radar	1.28878	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.43015	20.8603	4.58817	3.32542	0.389101	lidar	0.777144	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.21586	20.8124	4.59445	3.35956	0.43654	radar	1.63834	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.8939	20.797	4.79922	3.34961	0.387102	lidar	2.51744	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.68709	20.711	4.76658	3.40032	0.456783	radar	4.69164	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.39372	20.6342	4.89887	3.41885	0.447111	lidar	2.88152	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.16269	20.5531	4.91298	3.45511	0.484676	radar	0.188574	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.91745	20.4737	4.93934	3.47756	0.481371	lidar	0.0882773	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.70205	20.3858	4.94959	3.52165	0.54562	radar	3.44923	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.3663	20.3337	5.15963	3.50685	0.47974	lidar	2.68642	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.1245	20.2408	5.14978	3.52447	0.458525	radar	0.234887	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.85906	20.1563	5.2028	3.53496	0.439574	lidar	0.196	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.62582	20.0676	5.17262	3.54725	0.413794	radar	0.529584	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.38568	19.9732	5.17751	3.56303	0.406932	lidar	0.0897386	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.16554	19.8803	5.14894	3.58277	0.412092	radar	2.97634	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.90407	19.7854	5.20268	3.58886	0.39039	lidar	0.263629	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.66644	19.6391	5.27454	3.63751	0.471652	radar	1.7105	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.52242	19.506	5.10693	3.6864	0.512028	lidar	2.1046	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.32525	19.3562	5.07848	3.72421	0.531836	radar	1.7996	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.12035	19.2515	5.04907	3.73771	0.514262	lidar	2.00568	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.93928	19.1401	4.92183	3.74408	0.453975	radar	4.80209	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.79534	18.9862	4.82386	3.79091	0.493605	lidar	0.657857	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.58677	18.8351	4.89779	3.81873	0.515803	radar	1.51473	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
